,dist,path
r1,11970.0,",WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS6,WS5,WS9,WS14,WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS14,WS18,WS5,WS9,WS6,WS7,WS5,WS6,WS9,WS10,WS14,WS18,WS14,WS18,WS14,WS14,WS18,WS14,WS18,WS5,WS9,WS9,WS10,WS5,WS6,WS14,WS18,WS14,WS7,WS5,WS6,WS7,WS6,WS5,WS9,WS10,WS15,WS9,WS10,WS5,WS9,WS6,WS7,WS5,WS5,WS9,WS10,WS6,WS7,WS7,WS5,WS5,WS6,WS2,WS9,WS10,WS5,WS9,WS2,WS14,WS10,WS15,WS10,WS5"
r2,5065.0,",WS4,WS2,WS4,WS2,WS2,WS1,WS2,WS4,WS2,WS2,WS1,WS4,WS2,WS2,WS1,WS1,WS3,WS4,WS2,WS1,WS3,WS3,WS2,WS1,WS3,WS2,WS1,WS1,WS3,WS4,WS2,WS4,WS2,WS3,WS2,WS2,WS1,WS2,WS2,WS1,WS1,WS3"
r3,18592.5,",WS11,WS8,WS11,WS8,WS11,WS8,WS11,WS11,WS11,WS8,WS8,WS5,WS18,WS11,WS18,WS11,WS11,WS8,WS8,WS5,WS18,WS11,WS11,WS8,WS18,WS11,WS18,WS11,WS11,WS8,WS11,WS8,WS8,WS5,WS11,WS8,WS11,WS8,WS18,WS11,WS11,WS8,WS18,WS11,WS18,WS11,WS11,WS8,WS18,WS11,WS18,WS11,WS18,WS11,WS18,WS11,WS11,WS8,WS8,WS5,WS11,WS8,WS11,WS8,WS8,WS5,WS11,WS8,WS11,WS8,WS11,WS8,WS8,WS5,WS11,WS8,WS11,WS13,WS11,WS18,WS11,WS13,WS18,WS11,WS18,WS11,WS11,WS13,WS18,WS11,WS8,WS5,WS11,WS13,WS11,WS13,WS8,WS5,WS11,WS13,WS11,WS13,WS18,WS11,WS11,WS13,WS8,WS5,WS18,WS11,WS11,WS13,WS11"
