,x,y
A,70,390
B,190,390
C,230,390
D,290,390
E,70,315
F,190,315
G,230,315
H,10,300
I,70,300
J,230,265
K,290,265
L,10,250
M,70,250
N,70,240
O,230,240
P,70,165
Q,230,165
R,10,150
S,70,150
T,70,115
U,110,115
V,150,115
W,190,115
X,230,115
Y,70,25
Z,110,25
a,150,25
b,190,25
c,230,25
d,70,0
e,110,0
f,150,0
g,190,0
h,230,0
i,130,390
j,190,352.5
k,130,315
l,290,327.5
m,10,275
n,130,240
o,180,240
p,10,200
q,130,165
r,180,165
s,70,70
t,110,70
u,150,70
v,190,70
w,230,70
x,110,12.5
y,150,12.5
z,190,12.5
