time,Dist
3,0
35,0
67,0
99,0
130,0
160,0
192,0
224,0
255,0
285,0
316,0
349,0
381,0
411,0
444,0
476,0
506,0
536,0
568,0
599,0
631,0
663,0
695,0
727,0
758,0
790,0
823,0
855,0
887,0
919,0
951,0
984,0
1016,0
1047,0
1077,0
1108,0
1140,0
1173,0
1206,0
1238,0
1270,0
1301,0
1332,0
1364,0
1397,0
1429,0
1461,0
1493,0
1524,0
1556,0
1588,0
1622,0
1655,0
1685,0
1718,195.0
1751,390.0
1783,390.0
1813,390.0
1844,390.0
1877,390.0
1909,390.0
1939,390.0
1969,390.0
2000,390.0
2030,390.0
2061,390.0
2092,390.0
2123,390.0
2154,390.0
2184,390.0
2215,390.0
2246,390.0
2276,390.0
2307,390.0
2338,390.0
2369,390.0
2400,390.0
2431,390.0
2462,390.0
2492,390.0
2523,390.0
2554,390.0
2584,390.0
2615,390.0
2645,390.0
2676,390.0
2706,390.0
2737,390.0
2767,390.0
2797,390.0
2827,390.0
2858,390.0
2888,487.5
2919,585.0
2950,807.5
2981,807.5
3011,1007.5
3043,1265.0
3074,1265.0
3106,1265.0
3137,1420.0
3172,1420.0
3203,1600.0
3235,1785.0
3267,1785.0
3299,1970.0
3330,1970.0
3361,2155.0
3392,2340.0
3424,2340.0
3455,2525.0
3485,2710.0
3517,2710.0
3549,2895.0
3581,3125.0
3613,3125.0
3644,3280.0
3675,3280.0
3706,3435.0
3737,3590.0
3768,3590.0
3799,3590.0
3829,3590.0
3861,3590.0
3891,3590.0
3922,3590.0
3953,3590.0
3984,3590.0
4015,3590.0
4046,3590.0
4077,3590.0
4108,3590.0
4139,3590.0
4169,3590.0
4200,3590.0
4230,3590.0
4261,3590.0
4291,3590.0
4321,3590.0
4353,3590.0
4384,3590.0
4414,3590.0
4445,3590.0
4476,3590.0
4507,3590.0
4538,3590.0
4568,3745.0
4600,3820.0
4632,3895.0
4664,3970.0
4695,4120.0
4727,4195.0
4759,4270.0
4791,4420.0
4822,4847.5
4854,4847.5
4885,4847.5
4916,4847.5
4947,5047.5
4979,5247.5
5010,5447.5
5042,5447.5
5074,5545.0
5105,5740.0
5137,5740.0
5168,6012.5
5199,6012.5
5230,6212.5
5263,6532.5
5296,6732.5
5327,6932.5
5359,7132.5
5390,7132.5
5423,7332.5
5455,7532.5
5487,7532.5
5518,7825.0
5549,7825.0
5581,7985.0
5613,8060.0
5646,8135.0
5679,8210.0
5711,8637.5
5742,8637.5
5774,8637.5
5806,8837.5
5837,9037.5
5869,9037.5
5902,9237.5
5933,9437.5
5965,9437.5
5998,9637.5
6030,9837.5
6061,9837.5
6093,10037.5
6125,10237.5
6157,10237.5
6188,10437.5
6220,10637.5
6252,10637.5
6283,10837.5
6315,11095.0
6347,11095.0
6379,11170.0
6410,11597.5
6442,11597.5
6474,11597.5
6506,11797.5
6537,11797.5
6569,12055.0
6602,12055.0
6633,12557.5
6665,12557.5
6696,12557.5
6728,12557.5
6759,12757.5
6790,13050.0
6822,13285.0
6854,13285.0
6886,13285.0
6917,13435.0
6949,13435.0
6981,13767.5
7013,13767.5
7045,13865.0
7076,14087.5
7108,14087.5
7139,14287.5
7170,14385.0
7202,14580.0
7233,14580.0
7265,14775.0
7298,14997.5
7329,14997.5
7360,15197.5
7393,15197.5
7424,15530.0
7457,15530.0
7488,15605.0
7521,15680.0
7552,16012.5
7584,16012.5
7617,16012.5
7649,16332.5
7681,16332.5
7711,16532.5
7743,16532.5
7775,16865.0
7807,16940.0
7838,16940.0
7872,17367.5
7903,17367.5
7934,17367.5
7966,17367.5
7998,17567.5
8030,17900.0
8062,17975.0
8094,17975.0
8126,18307.5
8158,18307.5
8189,18307.5
8221,18307.5
8252,18307.5
8284,18405.0
8315,18627.5
8347,18627.5
8378,18827.5
8410,18827.5
8442,19160.0
8472,19160.0
8506,19235.0
8540,19235.0
8570,19662.5
8601,19662.5
8634,19662.5
8667,19662.5
8697,19862.5
8728,19960.0
8760,20155.0
8792,20155.0
8823,20315.0
8855,20390.0
8886,20390.0
8918,20817.5
8950,20817.5
8981,20817.5
9013,20817.5
9044,21017.5
9076,21310.0
9108,21545.0
9140,21545.0
9171,21545.0
9203,21855.0
9236,21855.0
9268,22050.0
9301,22050.0
9331,22322.5
9363,22322.5
9395,22522.5
9427,22620.0
9457,22930.0
9489,22930.0
9521,22930.0
9552,23262.5
9583,23262.5
9614,23262.5
9647,23582.5
9678,23582.5
9710,23582.5
9742,23582.5
9775,23582.5
9806,23582.5
9838,23582.5
9869,23582.5
9900,23582.5
9932,23582.5
9963,23582.5
9995,23582.5
10026,23582.5
10057,23582.5
10090,23582.5
10122,23582.5
10153,23582.5
10185,23582.5
10217,23582.5
10248,23582.5
10280,23582.5
10311,23582.5
10343,23582.5
10375,23582.5
10407,23582.5
10440,23582.5
10472,23582.5
10504,23582.5
10535,23582.5
10567,23582.5
10598,23582.5
10630,23582.5
10660,23582.5
10692,23582.5
10724,23582.5
10755,23582.5
10787,23582.5
10818,23582.5
10851,23582.5
10883,23582.5
10915,23582.5
10947,23582.5
10978,23582.5
11011,23582.5
11043,23582.5
11074,23582.5
11104,23582.5
11137,23582.5
11169,23582.5
11200,23582.5
11233,23582.5
11265,23582.5
11297,23582.5
11329,23582.5
11361,23582.5
11393,23582.5
11425,23582.5
11457,23582.5
11489,23582.5
11519,23582.5
11551,23582.5
11583,23582.5
11615,23582.5
11647,23582.5
11678,23582.5
11711,23582.5
11743,23582.5
11775,23582.5
11806,23582.5
11839,23582.5
11871,23582.5
11903,23582.5
11936,23582.5
11968,23582.5
11998,23582.5
12028,23582.5
12060,23582.5
12091,23582.5
12122,23582.5
12153,23582.5
12184,23582.5
12214,23582.5
12245,23582.5
12276,23582.5
12306,23582.5
12337,23582.5
12368,23582.5
12398,23582.5
12429,23582.5
12460,23582.5
12490,23582.5
12521,23582.5
12552,23582.5
12583,23582.5
12614,23582.5
12645,23582.5
12676,23582.5
12707,23582.5
12738,23582.5
12769,23582.5
12800,23582.5
12830,23582.5
12861,23582.5
12892,23582.5
12922,23582.5
12953,23582.5
12983,23582.5
13014,23582.5
13045,23582.5
13076,23582.5
13107,23582.5
13137,23582.5
13168,23582.5
13199,23582.5
13230,23582.5
13261,23582.5
13292,23582.5
13322,23582.5
13354,23582.5
13384,23582.5
13416,23582.5
13448,23582.5
13479,23582.5
13510,23582.5
13542,23582.5
13574,23582.5
13606,23582.5
13638,23582.5
13669,23582.5
13700,23582.5
13732,23582.5
13763,23582.5
13795,23582.5
13826,23582.5
13857,23582.5
13888,23582.5
13921,23582.5
13952,23582.5
13983,23582.5
14014,23582.5
14044,23582.5
14075,23582.5
14107,23582.5
14138,23582.5
14168,23582.5
14200,23582.5
14231,23582.5
14262,23582.5
14292,23582.5
14323,23582.5
14354,23582.5
14385,23582.5
14416,23582.5
14446,23582.5
14477,23582.5
14507,23582.5
14538,23582.5
14569,23582.5
14600,23582.5
14631,23582.5
14662,23582.5
14692,23582.5
14723,23582.5
14754,23582.5
14784,23582.5
14815,23582.5
14845,23582.5
14876,23582.5
14906,23582.5
14937,23582.5
14968,23582.5
14998,23582.5
15029,23582.5
15060,23582.5
15091,23582.5
15122,23582.5
15153,23582.5
15185,23582.5
15215,23582.5
15246,23582.5
15277,23582.5
15308,23582.5
15339,23582.5
15371,23582.5
15403,23582.5
15433,23582.5
15464,23582.5
15496,23582.5
15527,23582.5
15559,23582.5
15590,23582.5
15621,23582.5
15653,23582.5
15684,23582.5
15715,23582.5
15746,23582.5
15778,23582.5
15810,23582.5
15841,23582.5
15872,23582.5
15905,23582.5
15937,23582.5
15968,23582.5
16000,23582.5
16032,23582.5
16062,23582.5
16093,23582.5
16125,23582.5
16157,23582.5
16188,23582.5
16219,23582.5
16250,23582.5
16282,23582.5
16314,23582.5
16344,23582.5
16375,23582.5
16407,23582.5
16439,23582.5
16470,23582.5
16501,23582.5
16532,23582.5
16565,23582.5
16596,23582.5
16627,23582.5
16658,23582.5
16691,23582.5
16722,23582.5
16754,23582.5
16786,23582.5
16817,23582.5
16849,23582.5
16881,23582.5
16912,23582.5
16943,23582.5
16975,23582.5
17007,23582.5
17038,23582.5
17069,23582.5
17100,23582.5
17133,23582.5
17163,23582.5
17194,23582.5
17226,23582.5
17258,23582.5
17289,23582.5
17321,23582.5
17353,23582.5
17384,23582.5
17415,23582.5
17446,23582.5
17477,23582.5
17508,23582.5
17540,23582.5
17572,23582.5
17603,23582.5
17635,23582.5
17669,23582.5
17700,23582.5
17731,23582.5
17762,23582.5
17793,23582.5
17825,23582.5
17857,23582.5
17887,23582.5
17919,23582.5
17950,23582.5
17982,23582.5
18013,23582.5
18045,23582.5
18076,23582.5
18107,23582.5
18140,23582.5
18172,23582.5
18203,23582.5
18235,23582.5
18266,23582.5
18299,23582.5
18329,23582.5
18361,23582.5
18393,23582.5
18424,23582.5
18458,23582.5
18490,23582.5
18521,23582.5
18552,23582.5
18583,23582.5
18615,23582.5
18647,23582.5
18678,23582.5
18709,23582.5
18740,23582.5
18771,23582.5
18802,23582.5
18834,23582.5
18865,23582.5
18897,23582.5
18927,23582.5
18958,23582.5
18990,23582.5
19021,23582.5
19052,23582.5
19083,23582.5
19114,23582.5
19146,23582.5
19176,23582.5
19206,23582.5
19237,23582.5
19268,23582.5
19299,23582.5
19329,23582.5
19360,23582.5
19391,23582.5
19421,23582.5
19453,23582.5
19483,23582.5
19513,23582.5
19545,23582.5
19576,23582.5
19606,23582.5
19636,23582.5
19667,23582.5
19698,23582.5
19728,23582.5
19759,23582.5
19789,23582.5
19820,23582.5
19850,23582.5
19881,23582.5
19912,23582.5
19943,23582.5
19973,23582.5
20004,23582.5
20035,23582.5
20065,23582.5
20096,23582.5
20127,23582.5
20157,23582.5
20188,23582.5
