current time(hour),finished parts,throughput (part/hour)
0.08388888888888889,0,0.0
0.1675,0,0.0
0.2511111111111111,0,0.0
0.3347222222222222,0,0.0
0.41833333333333333,0,0.0
0.5019444444444444,0,0.0
0.5855555555555555,0,0.0
0.6691666666666667,0,0.0
0.7527777777777778,0,0.0
0.8363888888888888,0,0.0
0.92,0,0.0
1.0036111111111112,0,0.0
1.0872222222222223,1,0.919775166070516
1.1708333333333334,1,0.8540925266903914
1.2544444444444445,1,0.7971656333038086
1.3380555555555556,1,0.747353124351256
1.4216666666666666,1,0.7033997655334115
1.5052777777777777,1,0.6643292120317402
1.5888888888888888,1,0.6293706293706294
1.6724999999999999,1,0.5979073243647235
1.756111111111111,1,0.5694400506168934
1.8397222222222223,2,1.0871206401932658
1.9233333333333333,2,1.0398613518197575
2.0069444444444446,2,0.9965397923875432
2.0905555555555555,3,1.4350252458145096
2.1741666666666664,4,1.8397853583748565
2.2577777777777777,4,1.7716535433070868
2.3413888888888885,4,1.7083877090995376
2.425,6,2.4742268041237114
2.508611111111111,7,2.790388661277821
2.592222222222222,9,3.471924560651522
2.6758333333333337,9,3.363438181251946
2.7594444444444446,11,3.986309643648077
2.843055555555556,12,4.220810942843185
2.9266666666666667,12,4.100227790432801
3.010277777777778,13,4.318538340869244
3.093888888888889,14,4.525049380499192
3.1775,17,5.350118017309205
3.261111111111111,17,5.212947189097104
3.3447222222222224,18,5.381612822855244
3.4283333333333332,20,5.83373845405931
3.5119444444444445,20,5.694850905639484
3.5955555555555554,20,5.562422744128554
3.6791666666666667,20,5.436013590033975
3.762777777777778,20,5.315222205817215
3.846388888888889,21,5.459666353722828
3.93,22,5.597964376590331
4.0136111111111115,23,5.730500380649179
4.097222222222222,24,5.857627118644068
4.180833333333333,24,5.740482359976082
4.264444444444445,24,5.6279312141740485
4.348055555555556,25,5.7496965437935215
4.431666666666667,27,6.092515983452426
4.515277777777778,28,6.201168871116579
4.598888888888889,29,6.3058709833293065
4.6825,29,6.193272824345969
4.766111111111111,29,6.0846252476978675
4.849722222222223,29,5.979723924623403
4.933333333333334,29,5.878378378378378
5.016944444444444,30,5.9797353413432255
5.100555555555556,30,5.8817122317830295
5.184166666666667,31,5.9797460215399445
5.267777777777778,32,6.074667791605147
5.351388888888889,33,6.166623410329613
5.4350000000000005,33,6.071757129714811
5.518611111111111,33,5.979765440177178
5.602222222222222,33,5.89051963506545
