time,Dist
2,0
36,0
67,0
100,210.0
130,210.0
160,325.0
193,382.5
225,497.5
258,497.5
288,555.0
320,555.0
353,612.5
386,727.5
416,785.0
447,1257.5
479,1257.5
512,1257.5
542,1257.5
573,1457.5
605,1715.0
638,1715.0
668,1870.0
700,2065.0
732,2300.0
765,2357.5
795,2357.5
827,2357.5
860,2472.5
892,2587.5
922,2645.0
954,2760.0
985,2817.5
1017,2875.0
1047,3347.5
1078,3347.5
1110,3347.5
1143,3547.5
1175,3547.5
1207,3805.0
1238,3805.0
1271,3960.0
1304,4010.0
1335,4010.0
1367,4270.0
1399,4270.0
1431,4270.0
1464,4270.0
1495,4270.0
1527,4385.0
1558,4442.5
1590,4862.5
1622,4862.5
1656,4862.5
1686,4960.0
1719,5230.0
1751,5230.0
1783,5280.0
1813,5465.0
1846,5465.0
1877,5522.5
1909,5580.0
1939,5637.5
1970,5637.5
2001,5637.5
2031,5637.5
2062,5637.5
2093,5637.5
2124,5637.5
2154,5637.5
2186,5637.5
2216,5637.5
2247,5637.5
2278,5637.5
2309,5637.5
2340,5637.5
2370,5637.5
2401,5637.5
2432,5637.5
2463,5637.5
2494,5637.5
2524,5637.5
2555,5637.5
2586,5637.5
2616,5637.5
2647,5637.5
2678,5637.5
2708,5637.5
2738,5637.5
2768,5637.5
2799,5637.5
2829,5637.5
2860,5767.5
2890,6092.5
2922,6352.5
2952,6775.0
2983,6970.0
3014,7262.5
3045,7825.0
3076,7825.0
3107,7825.0
3140,8410.0
3171,8410.0
3203,8460.0
3234,8690.0
3267,8925.0
3298,8925.0
3329,8925.0
3361,9167.5
3392,9167.5
3424,9167.5
3455,9460.0
3485,9460.0
3516,9510.0
3548,9735.0
3579,9735.0
3609,9785.0
3641,10200.0
3672,10200.0
3704,10250.0
3734,10250.0
3766,10250.0
3796,10250.0
3827,10250.0
3858,10250.0
3888,10250.0
3919,10250.0
3950,10250.0
3981,10250.0
4011,10250.0
4042,10250.0
4073,10250.0
4104,10250.0
4134,10250.0
4165,10250.0
4195,10250.0
4226,10250.0
4258,10250.0
4288,10250.0
4319,10250.0
4349,10250.0
4380,10250.0
4411,10250.0
4441,10250.0
4472,10250.0
4503,10250.0
4533,10485.0
4564,10485.0
4596,10670.0
4626,10855.0
4656,10855.0
4687,11040.0
4720,11225.0
4752,11225.0
4782,11410.0
4815,11595.0
4846,11595.0
4878,11780.0
4908,11780.0
4941,12250.0
4972,12445.0
5003,12445.0
5033,12665.0
5064,12665.0
5095,12765.0
5127,12995.0
5157,12995.0
5189,13180.0
5220,13180.0
5251,13465.0
5283,13835.0
5313,13835.0
5344,14020.0
5376,14205.0
5407,14205.0
5439,14390.0
5470,14575.0
5501,14575.0
5532,14760.0
5564,14945.0
5597,14945.0
5628,15130.0
5658,15315.0
5690,15315.0
5722,15500.0
5753,15500.0
5783,15685.0
5815,15870.0
5846,15870.0
5878,16335.0
5909,16335.0
5940,16515.0
5972,16515.0
6004,16695.0
6035,16875.0
6067,16875.0
6099,17055.0
6130,17055.0
6160,17515.0
6192,17695.0
6224,17695.0
6257,17875.0
6287,18100.0
6318,18100.0
6350,18245.0
6382,18440.0
6412,18440.0
6443,18490.0
6475,18590.0
6506,18930.0
6537,18980.0
6569,19155.0
6601,19155.0
6633,19430.0
6664,19430.0
6696,19430.0
6727,19575.0
6758,19770.0
6790,19770.0
6823,20055.0
6854,20055.0
6886,20055.0
6917,20055.0
6949,20235.0
6981,20235.0
7013,20415.0
7045,20595.0
7078,20595.0
7110,20790.0
7142,20790.0
7174,20840.0
7205,21180.0
7236,21230.0
7268,21230.0
7299,21455.0
7331,21505.0
7363,21680.0
7397,21825.0
7429,21825.0
7460,22095.0
7491,22095.0
7523,22145.0
7554,22370.0
7585,22370.0
7618,22420.0
7649,22655.0
7682,22655.0
7713,22835.0
7745,22835.0
7777,22935.0
7810,23210.0
7842,23260.0
7873,23260.0
7905,23495.0
7937,23495.0
7968,23495.0
7999,23675.0
8030,23900.0
8062,24045.0
8093,24045.0
8126,24240.0
8160,24240.0
8191,24515.0
8222,24515.0
8254,24565.0
8285,24795.0
8317,24795.0
8349,24975.0
8381,25170.0
8411,25170.0
8442,25220.0
8473,25635.0
8504,25685.0
8535,25685.0
8567,25910.0
8599,25910.0
8630,25960.0
8662,26195.0
8694,26430.0
8727,26430.0
8759,26430.0
8790,26845.0
8821,26895.0
8854,26895.0
8886,27125.0
8917,27125.0
8949,27125.0
8980,27360.0
9012,27360.0
9043,27360.0
9075,27460.0
9107,27695.0
9138,27695.0
9169,27875.0
9201,27925.0
9233,28155.0
9265,28155.0
9297,28390.0
9330,28390.0
9362,28730.0
9393,28780.0
9425,28780.0
9457,29015.0
9489,29015.0
9520,29015.0
9551,29015.0
9583,29015.0
9614,29250.0
9646,29250.0
9677,29425.0
9709,29425.0
9739,29655.0
9771,29655.0
9803,29835.0
9835,29835.0
9866,29835.0
9898,29835.0
9930,29835.0
9961,29835.0
9993,29835.0
10023,30205.0
10055,30205.0
10085,30425.0
10116,30425.0
10148,30425.0
10179,30425.0
10211,30475.0
10244,30655.0
10277,30890.0
10308,30890.0
10339,30890.0
10371,31125.0
10402,31305.0
10434,31305.0
10466,31530.0
10497,31675.0
10529,31675.0
10561,31895.0
10592,31895.0
10623,31945.0
10655,31945.0
10687,31995.0
10719,32095.0
10750,32505.0
10782,32730.0
10814,32730.0
10846,32730.0
10876,32730.0
10908,32875.0
10940,33225.0
10972,33225.0
11003,33225.0
11035,33460.0
11067,33460.0
11099,33635.0
11130,33635.0
11162,33685.0
11194,33910.0
11225,33910.0
11257,33910.0
11289,33910.0
11323,34055.0
11355,34405.0
11386,34405.0
11418,34405.0
11450,34405.0
11482,34585.0
11513,34585.0
11547,34585.0
11578,34635.0
11610,34910.0
11642,34910.0
11673,35055.0
11705,35055.0
11737,35325.0
11769,35325.0
11801,35605.0
11831,35605.0
11863,35605.0
11894,35840.0
11925,35840.0
11957,35985.0
11988,36335.0
12020,36335.0
12052,36335.0
12084,36335.0
12115,36335.0
12146,36335.0
12176,36335.0
12207,36335.0
12238,36335.0
12269,36335.0
12299,36335.0
12330,36335.0
12361,36335.0
12392,36335.0
12422,36335.0
12452,36335.0
12483,36335.0
12513,36335.0
12544,36335.0
12575,36335.0
12605,36335.0
12637,36335.0
12668,36335.0
12699,36335.0
12730,36335.0
12761,36335.0
12792,36335.0
12823,36335.0
12854,36335.0
12886,36335.0
12917,36335.0
12948,36335.0
12979,36335.0
13010,36335.0
13041,36335.0
13073,36335.0
13103,36335.0
13134,36335.0
13164,36335.0
13196,36335.0
13226,36335.0
13257,36335.0
13288,36335.0
13319,36335.0
13351,36335.0
13383,36515.0
13414,36515.0
13445,37107.5
13477,37107.5
13508,37107.5
13538,37205.0
13568,37205.0
13600,37205.0
13632,37302.5
13662,37497.5
13694,37595.0
13725,37692.5
13756,37790.0
13786,37887.5
13818,37985.0
13848,38082.5
13879,38180.0
