current time(hour),finished parts,throughput (part/hour)
0.08833333333333333,0,0.0
0.17194444444444443,0,0.0
0.2555555555555556,0,0.0
0.33916666666666667,0,0.0
0.4227777777777778,0,0.0
0.5063888888888889,0,0.0
0.59,0,0.0
0.673611111111111,0,0.0
0.7572222222222221,0,0.0
0.8408333333333334,0,0.0
0.9244444444444445,0,0.0
1.0080555555555555,0,0.0
1.0916666666666666,0,0.0
1.1752777777777779,1,0.8508626802174426
1.258888888888889,2,1.588702559576346
1.3425,4,2.97951582867784
1.426111111111111,5,3.506038176860148
1.5097222222222222,6,3.974241030358786
1.5933333333333333,7,4.393305439330544
1.6769444444444443,8,4.7705814146099055
1.7605555555555557,8,4.544020195645314
1.8441666666666667,8,4.338002711251694
1.9277777777777778,8,4.14985590778098
2.011388888888889,8,3.977351194586383
