time,Svp
0,0.009619256935101348
128,0.8366399241196695
189,0.9187448921829694
250,0.9466905403168778
311,0.9604997220757835
372,0.9686789006737414
434,0.877607152492359
495,0.894086151436027
556,0.9066753048939843
617,0.9166014160873271
678,0.9246260086945917
740,0.8824354733684255
801,0.8907521780427149
862,0.8979723015704475
923,0.9042989218988244
984,0.90988796951924
1046,0.9148611389710324
1053,0.40372928723637663
1107,0.4484513310141406
1168,0.4484513310141406
1229,0.4561780811297537
1290,0.30247803075808427
1352,0.19156684105898458
1413,0.16069430829623432
1474,0.09809671381015167
1535,0.07535063675321507
1596,0.08922470022147258
1658,0.13267047558979075
1839,0.15503185072031359
2020,0.21070485058005414
2081,0.18802187002643359
2143,0.18742398518790554
2204,0.2199477975859852
2265,0.24905662170418105
2326,0.2853248868315231
2387,0.3274764958625671
2449,0.32703271709885356
2510,0.3509953835800511
2571,0.3905436317707286
2632,0.39405898072097745
2693,0.43091629825713273
2755,0.403380540930471
2816,0.40957168387474713
2877,0.41387460116950603
2938,0.4536773800060911
3000,0.4773926900941952
3061,0.4387570922599038
3122,0.43701740940184497
3129,0.02445733006509264
3183,0.02445733006509264
3244,0.06911197397495143
3306,0.040228356145851345
3367,0.031925120447895534
3428,0.0742554799950966
3489,0.1359549248956441
3670,0.2544736741750988
3731,0.24742735852903391
3792,0.28872330476080255
3853,0.3396802180119801
3914,0.36414319190250083
3976,0.357689474787365
4037,0.412462968456412
4098,0.43948715941725425
4159,0.4879518338866494
4220,0.49775067782197663
4282,0.550120206447609
4343,0.5456950662629901
4404,0.5815676500877479
4465,0.5636185449611039
4526,0.6047032095320498
4588,0.62498738115049
4595,0.06558115598964737
4649,0.1032788783492128
4710,0.0880920469604721
4771,0.09718381275634581
4833,0.13303394713173097
4894,0.13451211847428077
4955,0.14042680357031792
5136,0.18837218367879713
5317,0.2329105964962361
5379,0.2824376494631562
5440,0.2783383421421776
5501,0.30617702237891337
5562,0.30617702237891337
5623,0.3115724637608674
5685,0.3505788332385388
5746,0.3710384574465632
5807,0.3710384574465632
5868,0.37006980043632176
5929,0.3781943948703447
5991,0.34943076597942385
6052,0.3935603265312342
6113,0.38997805625218535
6174,0.3834288891014126
6236,0.37627216898464627
6243,0.0669945765983811
6297,0.0669945765983811
6358,0.08418665923404979
6419,0.07010984065198167
6480,0.0597096175290651
6542,0.06365296525229776
6603,0.07741424254104032
6784,0.06230046011760888
6965,0.09025178967033957
7146,0.06045506604766005
7327,0.07942467498740578
