,x,y
WS1,130,390
WS2,190,352.5
WS3,130,315
WS4,290,327.5
WS5,10,275
WS6,130,240
WS7,180,240
WS8,10,200
WS9,130,165
WS10,180,165
WS11,70,70
WS12,110,70
WS13,150,70
WS14,190,70
WS15,230,70
WS16,110,12.5
WS17,150,12.5
WS18,190,12.5
