time,Dist
126,0
153,210.0
213,420.0
273,630.0
333,840.0
393,1050.0
453,1050.0
458,1240.0
508,1420.0
578,1615.0
633,1770.0
678,1960.0
728,2140.0
818,2335.0
873,2335.0
878,2385.0
898,2570.0
948,2780.0
1008,2780.0
1013,2970.0
1063,3045.0
1088,3200.0
1128,3200.0
1133,3395.0
1188,3395.0
1193,3445.0
1213,3630.0
1263,3840.0
1323,3970.0
1363,4200.0
1423,4200.0
1428,4385.0
1478,4385.0
1483,4435.0
1506,4620.0
1553,4830.0
1613,4960.0
1653,5190.0
1708,5190.0
1713,5375.0
1763,5375.0
1768,5425.0
1791,5610.0
1838,5820.0
1898,5950.0
1938,6080.0
1978,6210.0
2023,6420.0
2083,6550.0
2123,6780.0
2178,6780.0
2183,6965.0
2233,6965.0
2238,7015.0
2258,7065.0
2278,7115.0
2298,7115.0
2303,7357.5
2363,7415.0
2383,7625.0
2443,7755.0
2478,7885.0
2518,8015.0
2558,8225.0
2618,8435.0
2678,8645.0
2738,8855.0
2798,9065.0
2858,9275.0
2918,9485.0
2979,9485.0
3038,9695.0
3098,9825.0
3138,9955.0
3178,10085.0
3218,10295.0
3278,10450.0
3323,10500.0
3343,10550.0
3363,10600.0
3383,10650.0
3403,10700.0
3423,10945.0
3488,11075.0
3528,11205.0
3568,11335.0
3611,11465.0
3663,11595.0
3703,11725.0
3743,11855.0
3783,11855.0
3788,12025.0
3838,12215.0
3888,12400.0
3938,12585.0
3988,12770.0
4038,12955.0
4088,13140.0
4138,13335.0
4193,13465.0
4233,13465.0
4238,13635.0
4288,13765.0
4328,13895.0
4368,14025.0
4408,14255.0
4468,14682.5
4593,14882.5
4638,14882.5
4643,14980.0
4668,15202.5
4728,15402.5
4773,15202.5
4778,15300.0
4803,15300.0
4808,15495.0
4858,15767.5
4923,15967.5
4968,15967.5
4973,16065.0
4998,16065.0
5003,16260.0
5053,16260.0
5058,16645.0
5158,16830.0
5208,17072.5
5273,17487.5
5373,17687.5
5418,17687.5
5423,17785.0
5448,17785.0
5453,17980.0
5503,18077.5
5533,18175.0
5558,18397.5
5618,18597.5
5663,18597.5
5668,18695.0
5693,18695.0
5698,18890.0
5748,19162.5
5813,19362.5
5858,19562.5
5903,19762.5
5948,19762.5
5953,19860.0
5978,19860.0
5983,20055.0
6033,20327.5
