current time(hour),finished parts,throughput (part/hour)
0.09222222222222222,0,0.0
0.17583333333333334,0,0.0
0.2594444444444444,0,0.0
0.34305555555555556,0,0.0
0.4266666666666667,0,0.0
0.5102777777777778,0,0.0
0.5938888888888889,0,0.0
0.6775,0,0.0
0.7611111111111111,2,2.6277372262773726
0.8447222222222222,2,2.367642222952976
0.9283333333333333,3,3.2315978456014363
1.0119444444444445,3,2.964589623936316
1.0955555555555556,3,2.738336713995943
1.1791666666666667,3,2.5441696113074204
1.2627777777777778,5,3.9595248570171577
1.3463888888888889,6,4.456364761708273
1.43,7,4.895104895104895
1.513611111111111,10,6.606716828775923
1.597222222222222,11,6.886956521739131
1.6808333333333332,13,7.734258800198315
1.7644444444444443,14,7.934508816120908
1.8480555555555556,16,8.657748384187585
1.9316666666666669,17,8.800690250215702
2.015277777777778,18,8.931771192281184
2.098888888888889,19,9.052408681842245
2.1824999999999997,21,9.621993127147768
2.266111111111111,24,10.590831086050503
2.349722222222222,26,11.065137723135125
2.433333333333333,28,11.506849315068495
2.516944444444445,28,11.124599933782141
2.6005555555555557,30,11.535996581926938
2.684166666666667,32,11.921763427506983
2.767777777777778,34,12.284223203532717
2.851388888888889,35,12.27471992206527
2.935,35,11.925042589437819
3.0186111111111114,36,11.926014539431305
3.102222222222222,38,12.249283667621777
3.1858333333333335,40,12.55558461940884
3.2694444444444444,40,12.234494477485132
3.3530555555555557,41,12.227653052771103
3.4366666666666665,42,12.221144519883609
3.520277777777778,43,12.214945158999447
3.6038888888888887,44,12.209033451518422
3.6875,45,12.203389830508474
3.7711111111111113,47,12.463170300530347
3.854722222222222,50,12.971103264394321
3.9383333333333335,52,13.20355480321625
4.021944444444444,55,13.67497755369846
4.105555555555556,57,13.883626522327468
4.189166666666667,60,14.322657648697035
4.272777777777778,61,14.27642699258874
4.356388888888889,64,14.691066760186189
4.4399999999999995,68,15.315315315315317
4.523611111111111,72,15.91648756524409
4.607222222222222,75,16.278789340407574
4.690833333333333,78,16.628175519630485
4.774444444444444,80,16.75587619269258
4.858055555555556,82,16.879181199611185
4.941666666666666,85,17.200674536256326
5.025277777777777,89,17.710463766513737
5.108888888888889,91,17.81209221400609
5.1925,93,17.910447761194032
5.276111111111111,94,17.8161524692008
5.359722222222222,96,17.911376004146152
5.443333333333333,98,18.003674219228415
5.526944444444444,99,17.91224807759964
5.610555555555555,100,17.823546885830282
5.694166666666666,100,17.561832284501687
5.777777777777778,100,17.307692307692307
5.8613888888888885,100,17.06080280555424
5.944999999999999,100,16.82085786375105
6.02861111111111,100,16.587568538911672
6.112222222222223,100,16.360661697873113
6.195833333333334,100,16.139878950907868
