,dist,path
r1,59472.5,",WS11,WS8,WS11,WS8,WS11,WS8,WS8,WS6,WS11,WS8,WS8,WS6,WS5,WS6,WS8,WS6,WS11,WS8,WS8,WS6,WS11,WS8,WS11,WS12,WS11,WS12,WS11,WS12,WS11,WS12,WS14,WS11,WS11,WS12,WS14,WS11,WS11,WS12,WS14,WS11,WS11,WS12,WS14,WS11,WS11,WS13,WS13,WS17,WS14,WS11,WS11,WS13,WS13,WS11,WS11,WS12,WS11,WS12,WS11,WS12,WS11,WS12,WS10,WS18,WS13,WS11,WS11,WS12,WS11,WS12,WS13,WS11,WS11,WS12,WS13,WS11,WS11,WS12,WS5,WS6,WS4,WS2,WS1,WS3,WS4,WS2,WS4,WS2,WS10,WS18,WS13,WS11,WS11,WS13,WS13,WS17,WS13,WS11,WS10,WS18,WS13,WS11,WS10,WS18,WS10,WS18,WS16,WS13,WS16,WS13,WS16,WS13,WS9,WS10,WS9,WS13,WS9,WS10,WS9,WS14,WS10,WS18,WS13,WS17,WS11,WS8,WS9,WS10,WS10,WS18,WS9,WS13,WS9,WS10,WS9,WS10,WS9,WS10,WS9,WS10,WS10,WS18,WS13,WS17,WS9,WS10,WS9,WS10,WS10,WS18,WS10,WS18,WS10,WS18,WS9,WS10,WS10,WS18,WS9,WS13,WS9,WS10,WS10,WS18,WS9,WS13,WS13,WS17,WS10,WS18,WS9,WS10,WS10,WS18,WS13,WS17,WS5,WS6,WS6,WS7,WS5,WS6,WS5,WS6,WS5,WS6,WS11,WS8,WS9,WS14,WS6,WS7,WS11,WS8,WS9,WS13,WS13,WS11,WS10,WS18,WS13,WS17,WS10,WS18,WS9,WS18,WS9,WS14,WS10,WS14,WS7,WS13,WS14,WS15,WS9,WS14,WS11,WS12,WS11,WS12,WS11,WS12,WS11,WS12,WS12,WS10,WS6,WS7,WS6,WS7,WS6,WS7,WS11,WS12,WS12,WS10,WS10,WS14,WS12,WS8,WS8,WS5,WS10,WS14,WS10,WS14,WS12,WS8,WS8,WS5,WS5,WS14,WS10,WS14,WS12,WS8,WS8,WS5,WS6,WS7,WS10,WS13,WS13,WS17,WS11,WS8,WS8,WS5,WS8,WS5,WS8,WS5,WS8,WS5,WS10,WS13,WS10,WS13,WS10,WS14,WS10,WS13,WS10,WS14,WS10,WS14,WS10,WS14,WS10,WS13,WS13,WS17,WS13,WS17,WS13,WS17,WS8,WS5,WS8,WS5,WS5,WS14,WS14,WS15,WS10,WS14,WS10,WS13,WS13,WS17,WS10,WS14,WS14,WS15,WS10,WS13,WS13,WS17,WS8,WS5,WS8,WS5,WS5,WS14,WS10,WS13,WS13,WS17,WS14,WS15,WS10,WS13,WS14,WS15,WS10,WS13,WS14,WS15,WS10,WS14,WS14,WS15,WS10,WS13,WS13,WS17,WS13,WS17,WS11,WS14,WS11,WS14,WS14,WS15,WS13,WS17,WS11,WS13,WS11,WS14,WS11,WS14,WS11,WS14,WS11,WS14,WS14,WS15,WS10,WS14,WS14,WS15,WS7,WS14,WS15,WS13,WS13,WS17,WS11,WS14,WS14,WS15,WS10,WS14,WS14,WS15,WS10,WS14,WS14,WS15,WS14,WS15,WS14,WS15,WS14,WS15,WS14,WS15,WS14,WS15,WS13,WS17,WS13,WS17,WS3,WS14,WS7,WS14,WS13,WS17,WS13,WS17"
r2,52240.0,",WS4,WS2,WS4,WS2,WS2,WS1,WS4,WS2,WS2,WS1,WS6,WS7,WS6,WS9,WS11,WS8,WS5,WS6,WS6,WS7,WS2,WS1,WS1,WS3,WS6,WS7,WS7,WS13,WS12,WS8,WS8,WS9,WS11,WS8,WS5,WS6,WS11,WS8,WS8,WS9,WS11,WS8,WS11,WS8,WS11,WS13,WS12,WS8,WS11,WS8,WS11,WS13,WS11,WS11,WS13,WS11,WS13,WS6,WS7,WS7,WS13,WS5,WS6,WS6,WS7,WS4,WS2,WS1,WS3,WS5,WS6,WS6,WS7,WS4,WS2,WS2,WS1,WS4,WS2,WS2,WS1,WS2,WS8,WS9,WS11,WS16,WS11,WS16,WS11,WS16,WS11,WS8,WS8,WS9,WS7,WS9,WS3,WS9,WS8,WS9,WS5,WS6,WS6,WS7,WS7,WS9,WS11,WS8,WS8,WS9,WS11,WS8,WS8,WS9,WS5,WS6,WS5,WS6,WS8,WS8,WS9,WS13,WS11,WS11,WS8,WS8,WS9,WS13,WS11,WS11,WS8,WS5,WS6,WS7,WS9,WS13,WS11,WS11,WS8,WS5,WS6,WS7,WS9,WS13,WS11,WS11,WS8,WS8,WS9,WS13,WS11,WS13,WS11,WS13,WS11,WS13,WS11,WS13,WS11,WS13,WS11,WS3,WS9,WS5,WS6,WS6,WS7,WS6,WS7,WS6,WS7,WS7,WS9,WS8,WS5,WS6,WS5,WS6,WS3,WS1,WS5,WS6,WS5,WS6,WS8,WS7,WS3,WS3,WS1,WS3,WS1,WS3,WS1,WS3,WS1,WS10,WS8,WS8,WS12,WS12,WS8,WS8,WS12,WS12,WS6,WS7,WS2,WS10,WS9,WS10,WS2,WS10,WS4,WS10,WS6,WS7,WS6,WS7,WS7,WS10,WS4,WS10,WS7,WS10,WS6,WS7,WS7,WS10,WS6,WS7,WS7,WS10,WS5,WS6,WS6,WS7,WS6,WS7,WS5,WS10,WS5,WS6,WS5,WS5,WS6,WS5,WS6,WS5,WS10,WS7,WS10,WS5,WS6,WS7,WS10,WS5,WS6,WS5,WS10,WS7,WS10,WS7,WS10,WS5,WS10,WS5,WS6,WS6,WS7,WS7,WS10,WS5,WS10,WS5,WS10,WS6,WS7,WS7,WS10,WS5,WS6,WS7,WS7,WS10,WS7,WS7,WS10,WS5,WS10,WS6,WS7,WS7,WS10,WS5,WS10,WS10,WS11,WS5,WS11,WS5,WS10,WS10,WS11,WS10,WS11,WS5,WS11,WS5,WS11,WS10,WS11,WS5,WS14,WS10,WS11,WS5,WS11,WS7,WS13,WS7,WS13,WS5,WS7,WS7,WS13"
r3,59055.0,",WS14,WS11,WS14,WS11,WS14,WS11,WS11,WS8,WS6,WS9,WS11,WS8,WS6,WS9,WS9,WS10,WS14,WS11,WS11,WS8,WS5,WS6,WS6,WS9,WS9,WS10,WS14,WS11,WS12,WS8,WS8,WS9,WS9,WS10,WS14,WS11,WS12,WS8,WS8,WS9,WS9,WS10,WS14,WS11,WS12,WS13,WS14,WS11,WS12,WS8,WS8,WS9,WS9,WS10,WS9,WS10,WS10,WS18,WS14,WS11,WS12,WS13,WS14,WS11,WS14,WS11,WS14,WS11,WS14,WS14,WS11,WS12,WS13,WS14,WS11,WS9,WS10,WS9,WS10,WS9,WS10,WS12,WS13,WS12,WS13,WS12,WS13,WS12,WS13,WS13,WS11,WS8,WS9,WS8,WS9,WS8,WS9,WS12,WS13,WS13,WS11,WS12,WS13,WS12,WS8,WS4,WS2,WS2,WS1,WS4,WS2,WS1,WS1,WS3,WS4,WS2,WS2,WS1,WS1,WS3,WS3,WS14,WS10,WS18,WS4,WS2,WS2,WS1,WS1,WS3,WS2,WS1,WS4,WS2,WS2,WS1,WS3,WS4,WS2,WS4,WS2,WS2,WS1,WS1,WS3,WS4,WS2,WS2,WS1,WS4,WS2,WS4,WS2,WS2,WS1,WS1,WS3,WS4,WS4,WS2,WS2,WS1,WS4,WS2,WS1,WS3,WS2,WS1,WS4,WS2,WS1,WS3,WS2,WS1,WS4,WS2,WS2,WS1,WS1,WS3,WS4,WS2,WS2,WS1,WS3,WS14,WS8,WS10,WS8,WS10,WS8,WS10,WS3,WS14,WS8,WS10,WS10,WS9,WS11,WS10,WS9,WS10,WS11,WS10,WS10,WS9,WS1,WS9,WS8,WS5,WS6,WS7,WS10,WS1,WS10,WS8,WS5,WS6,WS1,WS2,WS1,WS2,WS1,WS2,WS2,WS1,WS1,WS2,WS2,WS1,WS1,WS3,WS2,WS1,WS1,WS3,WS2,WS1,WS1,WS3,WS2,WS1,WS1,WS3,WS4,WS2,WS2,WS4,WS4,WS2,WS2,WS4,WS4,WS2,WS3,WS5,WS10,WS14,WS4,WS2,WS1,WS3,WS3,WS5,WS1,WS3,WS4,WS2,WS2,WS1,WS1,WS3,WS3,WS5,WS10,WS14,WS14,WS15,WS2,WS1,WS1,WS3,WS2,WS1,WS1,WS3,WS3,WS5,WS1,WS3,WS3,WS14,WS2,WS1,WS1,WS3,WS3,WS14,WS2,WS1,WS1,WS3,WS3,WS3,WS7,WS13,WS3,WS5,WS3,WS5,WS3,WS14,WS1,WS3,WS3,WS5,WS1,WS3,WS3,WS5,WS1,WS3,WS1,WS3,WS3,WS5,WS5,WS14,WS13,WS17,WS13,WS17,WS10,WS14,WS14,WS15,WS7,WS13,WS5,WS14,WS10,WS13,WS13,WS17,WS6,WS7,WS6,WS7,WS1,WS3,WS3,WS7,WS5,WS14,WS13,WS17,WS13,WS17,WS10,WS14,WS7,WS13,WS7,WS13,WS7,WS15,WS11,WS14,WS13,WS17,WS13,WS17,WS1,WS3,WS3,WS14,WS10,WS14,WS13,WS17,WS7,WS13,WS3,WS5,WS3,WS14"
