time,Dist
336,0
478,200.0
636,400.0
738,600.0
803,600.0
808,697.5
936,920.0
1033,1120.0
1078,1120.0
1083,1217.5
1173,1487.5
1243,1537.5
1263,1587.5
1283,1782.5
1338,1937.5
1383,2127.5
1438,2202.5
1463,2357.5
1508,2357.5
1513,2407.5
1578,2610.0
1698,2707.5
1723,2707.5
1728,2902.5
1778,3097.5
1848,3147.5
1868,3147.5
1873,3447.5
1993,3577.5
2033,3807.5
2088,3807.5
2093,3992.5
2143,4147.5
2188,4337.5
2238,4412.5
2263,4567.5
2308,4797.5
2373,4987.5
2423,4987.5
2428,5172.5
2478,5327.5
2523,5517.5
2573,5707.5
2623,5897.5
2673,6087.5
2723,6257.5
2773,6387.5
2813,6617.5
2868,6807.5
2918,6997.5
2968,7187.5
3018,7357.5
3068,7527.5
3138,7697.5
3188,7697.5
3238,7867.5
3288,8037.5
3338,8207.5
3388,8517.5
3493,8567.5
3513,8567.5
3518,8867.5
3603,9212.5
3688,9367.5
3733,9367.5
3738,9417.5
3759,9615.0
3808,9815.0
3853,9912.5
3878,10107.5
3928,10267.5
3973,10422.5
4018,10422.5
4023,10472.5
4043,10670.0
4093,10870.0
4139,10870.0
4143,10967.5
4168,11190.0
4223,11390.0
4268,11390.0
4273,11487.5
4298,11585.0
4328,11682.5
4353,11895.0
4433,12080.0
4483,12235.0
4528,12332.5
4578,12430.0
4608,12527.5
4639,12625.0
4668,12722.5
4698,12820.0
4728,13010.0
4778,13010.0
4783,13195.0
4833,13420.0
4888,13645.0
4948,13915.0
5023,14185.0
5093,14370.0
5143,14555.0
5193,14785.0
5258,14940.0
5303,14940.0
5308,14990.0
5328,14990.0
5333,15215.0
5424,15370.0
5468,15560.0
5518,15560.0
5523,15745.0
5573,15900.0
5623,16090.0
5673,16090.0
5678,16275.0
5728,16505.0
5793,16660.0
5838,16815.0
5883,16970.0
5931,17150.0
5983,17335.0
6053,17335.0
6103,17520.0
6154,17755.0
6218,17925.0
6288,17925.0
6293,18115.0
6343,18115.0
6348,18300.0
6399,18535.0
6463,18705.0
6513,18705.0
6518,18895.0
6568,18970.0
6648,19125.0
6694,19175.0
6713,19400.0
6774,19635.0
6843,19805.0
6889,19805.0
6893,19995.0
6943,20070.0
6968,20225.0
7014,20275.0
7033,20500.0
7088,20735.0
7153,20905.0
7203,20905.0
7208,21095.0
7259,21095.0
7263,21280.0
7314,21515.0
7378,21685.0
7423,21855.0
7468,22025.0
7514,22195.0
7563,22365.0
7613,22535.0
7663,22705.0
7713,22875.0
7763,23045.0
7813,23215.0
7863,23385.0
7913,23690.0
8053,23960.0
8153,24190.0
8218,24345.0
8263,24345.0
8268,24395.0
8313,24445.0
8333,24495.0
8353,24545.0
8383,24595.0
8403,24595.0
8408,24820.0
8463,25005.0
8598,25190.0
8651,25235.0
8713,25390.0
8758,25545.0
8803,25700.0
8851,25895.0
8903,26090.0
8953,26325.0
9013,26480.0
9053,26635.0
9098,26790.0
9144,26970.0
9193,27200.0
9258,27425.0
9313,27620.0
9363,27620.0
9413,27815.0
9463,28010.0
9513,28205.0
9563,28400.0
9613,28595.0
9698,28790.0
9748,28985.0
9798,29360.0
9888,29595.0
9988,29595.0
9993,29825.0
10083,29825.0
10088,30055.0
10143,30055.0
10148,30285.0
10203,30285.0
10208,30515.0
10263,30465.0
10313,30515.0
10343,30717.5
10393,30995.0
10458,31045.0
10478,31095.0
10498,31372.5
10573,31650.0
10689,31922.5
10753,32195.0
10858,32420.0
10913,32470.0
10933,32520.0
10953,32570.0
10974,32570.0
10978,32745.0
11058,33017.5
11123,33290.0
11193,33465.0
11238,33640.0
11283,33865.0
11373,33915.0
11393,33915.0
11398,34090.0
11478,34315.0
11543,34365.0
11563,34365.0
11568,34540.0
11648,34820.0
11723,34975.0
11763,34975.0
11768,35025.0
11788,35075.0
11808,35125.0
11828,35330.0
11883,35610.0
11959,35890.0
12038,36045.0
12083,36200.0
12128,36480.0
12203,36480.0
12278,36635.0
12323,36790.0
12368,36945.0
12413,37100.0
12458,37380.0
12533,37555.0
12583,37730.0
12638,38010.0
12738,38165.0
12783,38215.0
12803,38390.0
12863,38670.0
12938,38825.0
12983,38980.0
13028,39260.0
13103,39435.0
13148,39610.0
13233,39785.0
13278,39960.0
13323,40240.0
13398,40520.0
13473,40800.0
13548,40955.0
13593,40955.0
13598,41005.0
13618,41005.0
13623,41180.0
13703,41460.0
13778,41740.0
13853,42020.0
13928,42300.0
14003,42525.0
14063,42575.0
14083,42575.0
14088,42750.0
14133,43030.0
14228,43310.0
14303,43255.0
14358,43305.0
14378,43305.0
14383,43480.0
14428,43705.0
14488,43530.0
14508,43530.0
14513,43705.0
14558,43985.0
14633,44265.0
14708,44490.0
14788,44540.0
14808,44540.0
14813,44715.0
14861,44995.0
14943,45275.0
15018,45275.0
15023,45480.0
15078,45745.0
15143,46010.0
15208,46275.0
15273,46555.0
15348,46555.0
15353,46760.0
15408,46965.0
15468,47170.0
15523,47435.0
15593,47700.0
15663,47965.0
15728,48230.0
15793,48435.0
15853,48640.0
15908,48905.0
15973,49290.0
16068,49475.0
16153,49680.0
16208,49945.0
16273,50210.0
17221,50490.0
17278,50790.0
17358,51090.0
17438,51390.0
17563,51735.0
17648,51940.0
17703,51940.0
17708,52240.0
