zone workstations,critical segments,transfer stations,Svp
"[['WS17', 'WS16', 'WS11', 'WS12', 'WS13', 'WS8'], ['WS3', 'WS2', 'WS5', 'WS6', 'WS9'], ['WS4', 'WS1', 'WS7', 'WS10', 'WS15', 'WS14', 'WS18']]","[[['y', 'a', 'Z', 'x'], ['s', 'T', 'U', 't'], ['x', 'Z', 'Y', 's'], ['t', 'U', 'V', 'u'], ['t', 'U', 'T', 'S', 'R', 'p']], [['k', 'F', 'j'], ['m', 'H', 'I', 'E', 'k'], ['n', 'N', 'P', 'q'], ['m', 'L', 'M', 'N', 'n']], [['l', 'D', 'C', 'B', 'i'], ['l', 'K', 'J', 'O', 'o'], ['o', 'O', 'Q', 'r'], ['r', 'Q', 'X', 'w'], ['w', 'X', 'W', 'v'], ['v', 'b', 'z']]]","[['WS8', 'WS12', 'WS13'], ['WS17', 'WS13', 'WS16', 'WS12'], ['WS6', 'WS9', 'WS2']]",0.009619256935101348
"[['WS10', 'WS15', 'WS18', 'WS17', 'WS16', 'WS11', 'WS7', 'WS13', 'WS6'], ['WS12', 'WS8', 'WS9', 'WS5', 'WS3', 'WS14'], ['WS4', 'WS1', 'WS2']]","[[['r', 'Q', 'X', 'w'], ['w', 'c', 'b', 'z'], ['z', 'b', 'a', 'y'], ['y', 'a', 'Z', 'x'], ['x', 'Z', 'Y', 's'], ['r', 'Q', 'O', 'o'], ['s', 'Y', 'Z', 'a', 'u'], ['o', 'n']], [['t', 'U', 'T', 'S', 'R', 'p'], ['p', 'R', 'S', 'P', 'q'], ['q', 'P', 'N', 'M', 'L', 'm'], ['m', 'H', 'I', 'E', 'k'], ['q', 'P', 'S', 'T', 'U', 'V', 'W', 'v'], ['r', 'q'], ['z', 'b', 'v'], ['x', 'Z', 't'], ['y', 'a', 'Z', 't'], ['s', 'T', 'U', 't'], ['u', 'V', 'U', 't'], ['n', 'N', 'M', 'L', 'p']], [['l', 'D', 'C', 'B', 'i'], ['i', 'B', 'j'], ['k', 'F', 'j']]]","[['WS10', 'WS18', 'WS16', 'WS17', 'WS11', 'WS13', 'WS6'], [], ['WS3']]",0.40372928723637663
"[['WS17', 'WS16', 'WS12', 'WS11', 'WS18', 'WS14', 'WS15'], ['WS9', 'WS10', 'WS8', 'WS7', 'WS13', 'WS4'], ['WS3', 'WS1', 'WS2', 'WS5', 'WS6']]","[[['y', 'a', 'Z', 'x'], ['x', 'Z', 't'], ['s', 'Y', 'Z', 'a', 'b', 'z'], ['t', 'U', 'T', 's'], ['z', 'b', 'v'], ['v', 'b', 'c', 'w'], ['y', 'a', 'u'], ['w', 'X', 'Q', 'O', 'o'], ['x', 'Z', 'Y', 's', 'T', 'S', 'R', 'p']], [['q', 'r'], ['r', 'q', 'P', 'S', 'R', 'p'], ['r', 'Q', 'O', 'o'], ['u', 'V', 'W', 'X', 'Q', 'r'], ['o', 'O', 'J', 'K', 'l']], [['k', 'E', 'A', 'i'], ['i', 'B', 'j'], ['m', 'H', 'I', 'E', 'k'], ['m', 'L', 'M', 'N', 'n'], ['o', 'n'], ['p', 'L', 'M', 'N', 'n'], ['l', 'D', 'C', 'B', 'j']]]","[['WS13', 'WS7', 'WS8'], [], ['WS7', 'WS8', 'WS4']]",0.02445733006509264
"[['WS18', 'WS17', 'WS13', 'WS12', 'WS16', 'WS15', 'WS11'], ['WS8', 'WS5', 'WS6', 'WS7', 'WS9'], ['WS2', 'WS3', 'WS1', 'WS4', 'WS10', 'WS14']]","[[['z', 'b', 'a', 'y'], ['y', 'a', 'u'], ['t', 'Z', 'x'], ['x', 'Z', 'a', 'b', 'c', 'w'], ['x', 'Z', 'Y', 's'], ['u', 'V', 'U', 't'], ['s', 'T', 'S', 'P', 'q'], ['s', 'T', 'S', 'R', 'p'], ['s', 'T', 'S', 'P', 'N', 'n', 'o'], ['z', 'b', 'v'], ['w', 'X', 'Q', 'r']], [['p', 'L', 'm'], ['p', 'L', 'M', 'N', 'n'], ['n', 'o'], ['m', 'L', 'M', 'N', 'P', 'q'], ['q', 'r'], ['o', 'O', 'J', 'G', 'F', 'j']], [['j', 'F', 'k'], ['k', 'E', 'A', 'i'], ['i', 'B', 'C', 'D', 'l'], ['l', 'K', 'J', 'O', 'Q', 'r'], ['r', 'Q', 'X', 'W', 'v']]]","[['WS9', 'WS8', 'WS7'], ['WS14', 'WS10'], ['WS10', 'WS2']]",0.06558115598964737
"[['WS7', 'WS15', 'WS18', 'WS14', 'WS10'], ['WS9', 'WS11', 'WS16', 'WS12', 'WS13', 'WS17', 'WS8'], ['WS2', 'WS1', 'WS4', 'WS3', 'WS5', 'WS6']]","[[['w', 'c', 'b', 'z'], ['z', 'b', 'v'], ['o', 'O', 'Q', 'X', 'w'], ['v', 'W', 'X', 'Q', 'r'], ['r', 'q'], ['z', 'b', 'a', 'y'], ['z', 'b', 'a', 'Z', 'x'], ['r', 'q', 'P', 'S', 'R', 'p'], ['o', 'n'], ['o', 'O', 'J', 'K', 'l'], ['o', 'O', 'J', 'G', 'F', 'j'], ['o', 'O', 'J', 'G', 'F', 'k']], [['q', 'P', 'S', 'T', 's'], ['s', 'Y', 'Z', 'x'], ['x', 'Z', 't'], ['t', 'U', 'V', 'u'], ['u', 'a', 'y'], ['q', 'P', 'S', 'R', 'p'], ['p', 'L', 'M', 'N', 'n'], ['p', 'L', 'm', 'H', 'I', 'E', 'k']], [['j', 'B', 'i'], ['i', 'B', 'C', 'D', 'l'], ['i', 'A', 'E', 'k'], ['k', 'E', 'I', 'H', 'm'], ['m', 'L', 'M', 'N', 'n']]]","[['WS9', 'WS17', 'WS16', 'WS8'], ['WS6', 'WS4', 'WS2', 'WS3'], ['WS6', 'WS3']]",0.0669945765983811
