,WS1,WS2,WS3,WS4,WS5,WS6,WS7,WS8,WS9,WS10,WS11
WS1,0,44,0,0,0,0,0,0,0,0,0
WS2,0,0,16,24,0,0,4,0,0,0,0
WS3,0,0,0,0,7,0,9,0,0,0,0
WS4,0,0,0,0,0,9,0,12,12,0,0
WS5,0,0,0,0,0,0,0,0,7,0,0
WS6,0,0,0,0,0,0,0,0,0,13,7
WS7,0,0,0,0,0,0,0,0,13,0,0
WS8,0,0,0,0,0,0,0,0,0,24,0
WS9,0,0,0,9,0,11,0,12,0,0,0
WS10,0,0,0,0,0,0,0,0,0,0,37
WS11,0,0,0,0,0,0,0,0,0,0,0
